datetime,year,month,day,hour,temperature,cloud_cover,solar_irradiance,humidity
2021-01-01 00:00:00,2021,1,1,0,1.26,53.92,0.0,89.91
2021-01-01 01:00:00,2021,1,1,1,0.26,47.88,0.0,95.0
2021-01-01 02:00:00,2021,1,1,2,2.63,41.08,0.0,74.53
2021-01-01 03:00:00,2021,1,1,3,5.66,45.07,0.0,89.32
2021-01-01 04:00:00,2021,1,1,4,3.8,35.91,0.0,72.29
2021-01-01 05:00:00,2021,1,1,5,5.73,38.35,0.0,88.04
2021-01-01 06:00:00,2021,1,1,6,11.42,36.73,0.0,75.17
2021-01-01 07:00:00,2021,1,1,7,11.87,32.31,103.37,73.78
2021-01-01 08:00:00,2021,1,1,8,11.33,47.38,152.47,95.0
2021-01-01 09:00:00,2021,1,1,9,15.01,39.53,263.36,95.0
2021-01-01 10:00:00,2021,1,1,10,14.27,14.69,410.93,78.89
2021-01-01 11:00:00,2021,1,1,11,15.06,42.89,328.84,95.0
2021-01-01 12:00:00,2021,1,1,12,16.75,37.25,393.42,84.24
2021-01-01 13:00:00,2021,1,1,13,12.17,44.54,302.28,73.59
2021-01-01 14:00:00,2021,1,1,14,11.74,30.22,344.61,89.75
2021-01-01 15:00:00,2021,1,1,15,12.8,48.54,221.36,92.15
2021-01-01 16:00:00,2021,1,1,16,10.24,31.08,213.35,90.58
2021-01-01 17:00:00,2021,1,1,17,10.96,46.79,78.79,71.04
2021-01-01 18:00:00,2021,1,1,18,6.45,23.18,0.0,75.41
2021-01-01 19:00:00,2021,1,1,19,3.37,24.56,0.0,92.05
2021-01-01 20:00:00,2021,1,1,20,7.2,44.35,0.0,75.34
2021-01-01 21:00:00,2021,1,1,21,2.16,25.67,0.0,92.7
2021-01-01 22:00:00,2021,1,1,22,1.47,76.42,0.0,81.65
2021-01-01 23:00:00,2021,1,1,23,-2.31,43.64,0.0,71.4
2021-01-02 00:00:00,2021,1,2,0,-0.78,33.22,0.0,73.93
2021-01-02 01:00:00,2021,1,2,1,0.81,49.12,0.0,88.11
2021-01-02 02:00:00,2021,1,2,2,-0.92,23.11,0.0,88.5
2021-01-02 03:00:00,2021,1,2,3,3.41,51.18,0.0,95.0
2021-01-02 04:00:00,2021,1,2,4,3.11,50.62,0.0,84.64
2021-01-02 05:00:00,2021,1,2,5,5.66,57.79,0.0,82.89
2021-01-02 06:00:00,2021,1,2,6,7.11,23.9,0.0,95.0
2021-01-02 07:00:00,2021,1,2,7,14.09,8.26,129.37,77.77
2021-01-02 08:00:00,2021,1,2,8,12.28,20.52,250.81,82.22
2021-01-02 09:00:00,2021,1,2,9,11.85,27.09,315.57,88.28
2021-01-02 10:00:00,2021,1,2,10,16.88,66.06,185.21,77.32
2021-01-02 11:00:00,2021,1,2,11,13.6,76.62,124.55,88.05
2021-01-02 12:00:00,2021,1,2,12,16.73,39.61,359.29,84.52
2021-01-02 13:00:00,2021,1,2,13,12.12,32.91,355.46,93.56
2021-01-02 14:00:00,2021,1,2,14,12.58,25.72,349.37,81.14
2021-01-02 15:00:00,2021,1,2,15,14.36,49.21,210.1,79.37
2021-01-02 16:00:00,2021,1,2,16,13.79,76.49,70.79,95.0
2021-01-02 17:00:00,2021,1,2,17,10.72,68.44,44.65,91.29
2021-01-02 18:00:00,2021,1,2,18,8.08,55.48,0.0,93.17
2021-01-02 19:00:00,2021,1,2,19,5.64,55.19,0.0,91.17
2021-01-02 20:00:00,2021,1,2,20,1.35,49.37,0.0,79.09
2021-01-02 21:00:00,2021,1,2,21,1.21,31.77,0.0,76.8
2021-01-02 22:00:00,2021,1,2,22,0.46,17.99,0.0,76.89
2021-01-02 23:00:00,2021,1,2,23,2.7,32.3,0.0,79.88
2021-01-03 00:00:00,2021,1,3,0,1.05,41.58,0.0,94.0
2021-01-03 01:00:00,2021,1,3,1,-2.89,4.06,0.0,84.2
2021-01-03 02:00:00,2021,1,3,2,2.08,30.07,0.0,91.92
2021-01-03 03:00:00,2021,1,3,3,1.93,16.61,0.0,90.99
2021-01-03 04:00:00,2021,1,3,4,3.01,53.41,0.0,95.0
2021-01-03 05:00:00,2021,1,3,5,7.51,22.14,0.0,90.81
2021-01-03 06:00:00,2021,1,3,6,10.42,39.7,0.0,86.1
2021-01-03 07:00:00,2021,1,3,7,12.29,19.13,129.22,74.01
2021-01-03 08:00:00,2021,1,3,8,10.68,65.09,99.09,95.0
2021-01-03 09:00:00,2021,1,3,9,13.4,0.0,427.65,92.92
2021-01-03 10:00:00,2021,1,3,10,15.95,42.65,307.89,87.79
2021-01-03 11:00:00,2021,1,3,11,18.04,7.59,553.67,86.1
2021-01-03 12:00:00,2021,1,3,12,15.4,22.95,446.21,70.16
2021-01-03 13:00:00,2021,1,3,13,15.72,37.26,339.73,87.78
2021-01-03 14:00:00,2021,1,3,14,13.07,38.24,317.49,80.16
2021-01-03 15:00:00,2021,1,3,15,11.62,37.72,243.84,71.28
2021-01-03 16:00:00,2021,1,3,16,13.98,36.17,195.04,80.53
2021-01-03 17:00:00,2021,1,3,17,13.14,20.3,124.52,86.33
2021-01-03 18:00:00,2021,1,3,18,8.22,29.85,0.0,87.39
2021-01-03 19:00:00,2021,1,3,19,8.3,33.76,0.0,74.97
2021-01-03 20:00:00,2021,1,3,20,5.08,37.04,0.0,73.5
2021-01-03 21:00:00,2021,1,3,21,1.41,31.82,0.0,81.98
2021-01-03 22:00:00,2021,1,3,22,2.15,47.72,0.0,88.97
2021-01-03 23:00:00,2021,1,3,23,3.71,35.0,0.0,78.06
2021-01-04 00:00:00,2021,1,4,0,0.34,37.57,0.0,80.76
2021-01-04 01:00:00,2021,1,4,1,3.81,25.89,0.0,85.82
2021-01-04 02:00:00,2021,1,4,2,-3.76,12.5,0.0,77.75
2021-01-04 03:00:00,2021,1,4,3,4.4,36.63,0.0,68.26
2021-01-04 04:00:00,2021,1,4,4,4.59,57.7,0.0,86.8
2021-01-04 05:00:00,2021,1,4,5,5.74,42.42,0.0,70.34
2021-01-04 06:00:00,2021,1,4,6,8.59,17.2,0.0,86.96
2021-01-04 07:00:00,2021,1,4,7,6.51,49.84,70.91,82.55
2021-01-04 08:00:00,2021,1,4,8,11.97,26.84,216.77,82.48
2021-01-04 09:00:00,2021,1,4,9,14.78,47.84,220.16,75.49
2021-01-04 10:00:00,2021,1,4,10,18.3,26.17,398.45,81.66
2021-01-04 11:00:00,2021,1,4,11,15.1,40.61,329.72,77.29
2021-01-04 12:00:00,2021,1,4,12,14.79,23.18,480.64,95.0
2021-01-04 13:00:00,2021,1,4,13,15.14,23.69,405.11,77.88
2021-01-04 14:00:00,2021,1,4,14,17.17,2.22,502.7,92.62
2021-01-04 15:00:00,2021,1,4,15,14.73,43.79,248.58,79.79
2021-01-04 16:00:00,2021,1,4,16,11.35,40.95,174.82,86.26
2021-01-04 17:00:00,2021,1,4,17,11.51,42.08,86.13,84.38
2021-01-04 18:00:00,2021,1,4,18,8.61,39.05,0.0,82.99
2021-01-04 19:00:00,2021,1,4,19,8.28,18.3,0.0,82.74
2021-01-04 20:00:00,2021,1,4,20,3.01,52.86,0.0,86.29
2021-01-04 21:00:00,2021,1,4,21,2.1,53.4,0.0,95.0
2021-01-04 22:00:00,2021,1,4,22,0.7,17.78,0.0,
2021-01-04 23:00:00,2021,1,4,23,-2.24,44.19,0.0,70.17
2021-01-05 00:00:00,2021,1,5,0,1.06,51.46,0.0,77.58
2021-01-05 01:00:00,2021,1,5,1,1.26,24.56,0.0,85.25
2021-01-05 02:00:00,2021,1,5,2,1.55,28.04,0.0,81.86
2021-01-05 03:00:00,2021,1,5,3,2.34,44.65,0.0,95.0
2021-01-05 04:00:00,2021,1,5,4,1.64,3.76,0.0,95.0
2021-01-05 05:00:00,2021,1,5,5,5.55,12.19,0.0,80.59
2021-01-05 06:00:00,2021,1,5,6,7.78,14.17,0.0,95.0
2021-01-05 07:00:00,2021,1,5,7,8.93,0.0,156.04,87.59
2021-01-05 08:00:00,2021,1,5,8,12.14,55.66,125.52,78.39
2021-01-05 09:00:00,2021,1,5,9,14.93,0.0,406.14,83.26
2021-01-05 10:00:00,2021,1,5,10,19.17,40.83,301.14,82.68
2021-01-05 11:00:00,2021,1,5,11,16.54,50.2,272.28,78.33
2021-01-05 12:00:00,2021,1,5,12,16.98,28.09,401.28,79.15
2021-01-05 13:00:00,2021,1,5,13,16.04,20.6,443.82,87.83
2021-01-05 14:00:00,2021,1,5,14,11.56,38.62,297.71,81.02
2021-01-05 15:00:00,2021,1,5,15,14.07,34.0,265.17,81.96
2021-01-05 16:00:00,2021,1,5,16,12.59,54.03,123.62,82.56
2021-01-05 17:00:00,2021,1,5,17,15.46,0.0,156.96,82.88
2021-01-05 18:00:00,2021,1,5,18,8.08,15.59,0.0,91.59
2021-01-05 19:00:00,2021,1,5,19,7.0,45.2,0.0,77.61
2021-01-05 20:00:00,2021,1,5,20,4.4,34.97,0.0,86.07
2021-01-05 21:00:00,2021,1,5,21,0.47,49.0,0.0,72.12
2021-01-05 22:00:00,2021,1,5,22,3.82,39.2,0.0,80.05
2021-01-05 23:00:00,2021,1,5,23,2.24,31.27,0.0,73.76
2021-01-06 00:00:00,2021,1,6,0,2.11,28.34,0.0,95.0
2021-01-06 01:00:00,2021,1,6,1,-1.02,80.88,0.0,85.2
2021-01-06 02:00:00,2021,1,6,2,4.4,65.08,0.0,80.72
2021-01-06 03:00:00,2021,1,6,3,0.06,44.29,0.0,70.23
2021-01-06 04:00:00,2021,1,6,4,5.7,35.95,0.0,73.41
2021-01-06 05:00:00,2021,1,6,5,10.84,45.14,0.0,90.94
2021-01-06 06:00:00,2021,1,6,6,6.54,50.92,0.0,86.96
2021-01-06 07:00:00,2021,1,6,7,9.46,42.76,86.44,72.6
2021-01-06 08:00:00,2021,1,6,8,12.72,19.35,228.16,72.63
2021-01-06 09:00:00,2021,1,6,9,13.18,70.07,116.1,95.0
2021-01-06 10:00:00,2021,1,6,10,12.35,39.31,277.96,94.97
2021-01-06 11:00:00,2021,1,6,11,16.39,74.66,145.87,86.49
2021-01-06 12:00:00,2021,1,6,12,14.4,38.12,374.72,85.05
2021-01-06 13:00:00,2021,1,6,13,17.2,29.47,369.64,82.78
2021-01-06 14:00:00,2021,1,6,14,13.61,62.06,173.92,74.06
2021-01-06 15:00:00,2021,1,6,15,17.28,40.41,225.24,91.01
2021-01-06 16:00:00,2021,1,6,16,10.96,37.05,176.83,82.56
2021-01-06 17:00:00,2021,1,6,17,9.95,10.37,127.86,89.97
2021-01-06 18:00:00,2021,1,6,18,10.15,47.59,0.0,80.89
2021-01-06 19:00:00,2021,1,6,19,3.99,24.52,0.0,87.03
2021-01-06 20:00:00,2021,1,6,20,4.98,25.43,0.0,80.28
2021-01-06 21:00:00,2021,1,6,21,5.48,24.57,0.0,84.68
2021-01-06 22:00:00,2021,1,6,22,-1.62,43.16,0.0,90.5
2021-01-06 23:00:00,2021,1,6,23,1.17,3.67,0.0,79.84
2021-01-07 00:00:00,2021,1,7,0,1.11,30.59,0.0,95.0
